meta_comfort_timestamp,meta_weather_timestamp,meta_source_file,meta_weather_gap_minutes,wx_condition,wx_temp_c,wx_rh_percent,msr_indoor_temp_f,msr_indoor_rh_percent,msr_indoor_rh_frac,msr_wall_temp_f,msr_ambient2_temp_f,bld_r_wall,bld_a_envelope,bld_ach,bld_volume,phy_indoor_rh_frac,phy_wall_temp_f,phy_building_heat_loss_w,phy_user_heat_loss_wm2,phy_verdict,tgt_comfort_label
2022-03-28 23:50:08,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.866666666666666,Clear,0.5,36.79217867,68.54,26.9,0.26899999999999996,72,72,2.3,70.0,0.5,30.0,0.09785085123191473,66.19296764596277,702.1036956521743,68.42342331421702,Good,Good
2022-03-28 23:50:10,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.833333333333333,Clear,0.5,36.79217867,69.26,26.2,0.262,72,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:12,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.8,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:14,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.766666666666667,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:16,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.733333333333333,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:18,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.7,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:20,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.666666666666667,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:22,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.633333333333334,Clear,0.5,36.79217867,69.26,26.2,0.262,90,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:24,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.6,Clear,0.5,36.79217867,69.26,26.1,0.261,90,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:26,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.566666666666666,Clear,0.5,36.79217867,69.26,26.1,0.261,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:28,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.533333333333333,Clear,0.5,36.79217867,69.26,26.1,0.261,72,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:31,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.483333333333333,Clear,0.5,36.79217867,69.26,26.2,0.262,72,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:33,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.45,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:35,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.416666666666667,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:37,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.383333333333334,Clear,0.5,36.79217867,69.26,26.2,0.262,72,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:39,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.35,Clear,0.5,36.79217867,69.26,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:41,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.316666666666666,Clear,0.5,36.79217867,69.26,26.2,0.262,73,72,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:43,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.283333333333333,Clear,0.5,36.79217867,69.26,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:45,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.25,Clear,0.5,36.79217867,69.26,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:47,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.216666666666667,Clear,0.5,36.79217867,69.26,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:49,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.183333333333334,Clear,0.5,36.79217867,69.26,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:51,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.15,Clear,0.5,36.79217867,69.26,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:53,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.116666666666666,Clear,0.5,36.79217867,69.26,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:55,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.083333333333333,Clear,0.5,36.79217867,69.26,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:50:57,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.05,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:50:59,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,4.016666666666667,Clear,0.5,36.79217867,69.26,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09546527681991901,66.86555285093166,716.2876086956519,66.69789378203193,Good,Good
2022-03-28 23:51:01,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.9833333333333334,Clear,0.5,36.79217867,69.44,26.3,0.263,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:03,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.95,Clear,0.5,36.79217867,69.44,26.3,0.263,73,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:05,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.9166666666666665,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:07,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.8833333333333333,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:09,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.85,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:11,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.816666666666667,Clear,0.5,36.79217867,69.44,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:13,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.783333333333333,Clear,0.5,36.79217867,69.44,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:15,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.75,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:17,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.716666666666667,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:19,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.683333333333333,Clear,0.5,36.79217867,69.44,26.2,0.262,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:21,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.65,Clear,0.5,36.79217867,69.44,26.2,0.262,73,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:23,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.6166666666666667,Clear,0.5,36.79217867,69.44,26.1,0.261,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:25,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.5833333333333335,Clear,0.5,36.79217867,69.44,26.1,0.261,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:28,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.533333333333333,Clear,0.5,36.79217867,69.44,26.1,0.261,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:30,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.5,Clear,0.5,36.79217867,69.44,26.1,0.261,73,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:32,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.466666666666667,Clear,0.5,36.79217867,69.44,26.1,0.261,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-03-28 23:51:34,2022-03-28 23:55:00,March28Data_W_IRRA(in).csv,3.433333333333333,Clear,0.5,36.79217867,69.44,26.1,0.261,72,73,2.3,70.0,0.5,30.0,0.09487915525601197,67.03369915217397,719.8335869565223,66.2658380450435,Good,Good
2022-04-02 12:45:01,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.983333333333333,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:03,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.95,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:05,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.916666666666666,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:07,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.883333333333333,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:09,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.85,Clear,10.6,34.59220086,68.18,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:11,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.816666666666666,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:13,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.783333333333333,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:15,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.75,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:17,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.716666666666667,Clear,10.6,34.59220086,68.18,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:19,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.683333333333334,Clear,10.6,34.59220086,68.18,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:21,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.65,Clear,10.6,34.59220086,68.18,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:23,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.616666666666667,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:25,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.583333333333334,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:27,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.55,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:29,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.516666666666667,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:31,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.483333333333333,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:33,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.45,Clear,10.6,34.59220086,68.18,45.1,0.451,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:35,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.416666666666666,Clear,10.6,34.59220086,68.36,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:37,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.383333333333333,Clear,10.6,34.59220086,68.36,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:39,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.35,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:41,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.316666666666666,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:43,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.283333333333333,Clear,10.6,34.59220086,68.18,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:45:45,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.25,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:47,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.216666666666667,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:49,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.183333333333334,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:51,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.15,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:53,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.116666666666667,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:55,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.083333333333334,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:45:57,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.05,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:00,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,9.0,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:02,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.966666666666667,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:04,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.933333333333334,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:06,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.9,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:08,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.866666666666667,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:10,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.833333333333334,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:12,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.8,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:14,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.766666666666667,Clear,10.6,34.59220086,68.18,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:46:16,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.733333333333333,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:18,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.7,Clear,10.6,34.59220086,68.18,45.2,0.452,67,70,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:46:20,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.666666666666666,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:22,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.633333333333333,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:24,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.6,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:26,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.566666666666666,Clear,10.6,34.59220086,68.36,45.3,0.45299999999999996,67,70,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:28,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.533333333333333,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:30,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.5,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:32,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.466666666666667,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:34,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.433333333333334,Clear,10.6,34.59220086,68.18,45.1,0.451,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:46:36,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.4,Clear,10.6,34.59220086,68.36,45.2,0.452,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:38,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.366666666666667,Clear,10.6,34.59220086,68.36,45.1,0.451,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:40,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.333333333333334,Clear,10.6,34.59220086,68.18,44.9,0.449,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:46:42,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.3,Clear,10.6,34.59220086,68.36,44.9,0.449,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:44,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.266666666666667,Clear,10.6,34.59220086,68.36,44.9,0.449,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:46,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.233333333333333,Clear,10.6,34.59220086,68.36,44.8,0.44799999999999995,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:48,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.2,Clear,10.6,34.59220086,68.18,44.7,0.447,67,69,2.3,70.0,0.5,30.0,0.18788875157113002,67.05389861801243,336.86793478260876,66.99454106797099,Good,Cold
2022-04-02 12:46:50,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.166666666666666,Clear,10.6,34.59220086,68.36,44.8,0.44799999999999995,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:52,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.133333333333333,Clear,10.6,34.59220086,68.36,44.7,0.447,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
2022-04-02 12:46:54,2022-04-02 12:55:00,March28Data_W_IRRA(in).csv,8.1,Clear,10.6,34.59220086,68.36,44.7,0.447,67,69,2.3,70.0,0.5,30.0,0.18672984428455053,67.22204491925461,340.4139130434771,66.56507020709088,Good,Cold
